subset_index,len(dataset_subset),accuracy,number of timesteps
1,40,0.7087947726249695,2
2,80,0.7570522427558899,4
3,120,0.7795639634132385,6
4,160,0.7329784631729126,8
5,200,0.7956220507621765,10
6,240,0.8042744398117065,12
7,280,0.8105596899986267,14
8,320,0.8367952704429626,16
9,360,0.8282364010810852,18
10,400,0.8501273989677429,20
11,440,0.8688448071479797,22
12,480,0.876792848110199,24
13,520,0.8791755437850952,26
14,560,0.8856528997421265,28
15,600,0.8982439041137695,30
16,640,0.9110302925109863,32
17,680,0.9088687896728516,34
18,720,0.9106131792068481,36
19,760,0.9282700419425964,38
20,800,0.8824118375778198,40
21,840,0.9339218139648438,42
22,880,0.9288074970245361,44
23,920,0.9154062867164612,46
24,960,0.7686740756034851,48
25,1000,0.9533489942550659,50
26,1040,0.9287779331207275,52
27,1080,0.9347999095916748,54
28,1120,0.9484094977378845,56
29,1160,0.9344837069511414,58
30,1200,0.9423443078994751,60
31,1240,0.9338820576667786,62
32,1280,0.9518405795097351,64
33,1320,0.9491761922836304,66
34,1360,0.9492815136909485,68
35,1400,0.9505259990692139,70
36,1440,0.9581061601638794,72
37,1480,0.9678540229797363,74
38,1520,0.9514761567115784,76
39,1560,0.9580997228622437,78
40,1600,0.9374441504478455,80
41,1640,0.9584962129592896,82
42,1680,0.9623443484306335,84
43,1720,0.9668813347816467,86
44,1760,0.9659337401390076,88
45,1800,0.9690334796905518,90
46,1840,0.9636650681495667,92
47,1880,0.9652090668678284,94
48,1920,0.9677523374557495,96
49,1960,0.9687194228172302,98
50,2000,0.966414213180542,100
51,2040,0.9723793864250183,102
52,2080,0.9690548181533813,104
53,2120,0.9642978310585022,106
54,2160,0.9718115925788879,108
55,2200,0.9673270583152771,110
56,2240,0.9627416729927063,112
57,2280,0.9687166810035706,114
58,2320,0.9676375389099121,116
59,2360,0.9738086462020874,118
60,2400,0.9418476223945618,120
61,2440,0.9135940670967102,122
62,2480,0.967960774898529,124
63,2520,0.9706218838691711,126
64,2560,0.9698725342750549,128
65,2600,0.9702776670455933,130
66,2640,0.9695049524307251,132
67,2680,0.9647011756896973,134
68,2720,0.9739943146705627,136
69,2760,0.9790037274360657,138
70,2800,0.9670421481132507,140
71,2840,0.9754756689071655,142
72,2880,0.9742820262908936,144
73,2920,0.9782702922821045,146
74,2960,0.977523148059845,148
75,3000,0.972731351852417,150
76,3040,0.9814059138298035,152
77,3080,0.9788311123847961,154
78,3120,0.9845866560935974,156
79,3160,0.9834044575691223,158
80,3200,0.9783341288566589,160
81,3240,0.9672371745109558,162
82,3280,0.9841033220291138,164
83,3320,0.9813225865364075,166
84,3360,0.9861467480659485,168
85,3400,0.9791340827941895,170
86,3440,0.9877983927726746,172
87,3480,0.9212088584899902,174
88,3520,0.9802306294441223,176
89,3560,0.7641140222549438,178
90,3600,0.9846329092979431,180
91,3640,0.9849275350570679,182
92,3680,0.9822799563407898,184
93,3720,0.9831426739692688,186
94,3760,0.9852670431137085,188
95,3800,0.9881026744842529,190
96,3840,0.9865814447402954,192
97,3880,0.9889106154441833,194
98,3920,0.9920053482055664,196
99,3960,0.9897889494895935,198
100,4000,0.9255393147468567,200
101,4040,0.9900355935096741,202
102,4080,0.9839767217636108,204
103,4120,0.9880685806274414,206
104,4160,0.9877769351005554,208
105,4200,0.9929522275924683,210
106,4240,0.9887550473213196,212
107,4280,0.9859851598739624,214
108,4320,0.98391193151474,216
109,4360,0.9878154993057251,218
110,4400,0.9829901456832886,220
111,4440,0.983410120010376,222
112,4480,0.9905033111572266,224
113,4520,0.9872673749923706,226
114,4560,0.9817997813224792,228
115,4600,0.9801462888717651,230
