subset_index,len(dataset_subset),accuracy,number of timesteps
1,40,0.84808349609375,2
2,80,0.847594141960144,4
3,120,0.8472025990486145,6
4,160,0.8476190567016602,8
5,200,0.8401097655296326,10
6,240,0.8351009488105774,12
7,280,0.8476570248603821,14
8,320,0.8365838527679443,16
9,360,0.845314085483551,18
10,400,0.8264104127883911,20
11,440,0.8020941615104675,22
12,480,0.8296234607696533,24
13,520,0.8071383833885193,26
14,560,0.8136125802993774,28
15,600,0.82317715883255,30
16,640,0.8208939433097839,32
17,680,0.8170086741447449,34
18,720,0.8550201654434204,36
19,760,0.8454738855361938,38
20,800,0.8254969120025635,40
21,840,0.8174994587898254,42
22,880,0.8125672340393066,44
23,920,0.8453897833824158,46
24,960,0.8188515901565552,48
25,1000,0.8211567997932434,50
26,1040,0.8324241638183594,52
27,1080,0.8462886214256287,54
28,1120,0.8344320058822632,56
29,1160,0.8334068059921265,58
30,1200,0.8437707424163818,60
31,1240,0.8482123017311096,62
32,1280,0.8493425250053406,64
33,1320,0.8603220582008362,66
34,1360,0.8571268320083618,68
35,1400,0.85920250415802,70
36,1440,0.8523626327514648,72
37,1480,0.8666893839836121,74
38,1520,0.8660897016525269,76
39,1560,0.8687999844551086,78
40,1600,0.8620096445083618,80
41,1640,0.8684089183807373,82
42,1680,0.8636468648910522,84
43,1720,0.8453955054283142,86
44,1760,0.8512223362922668,88
45,1800,0.8623510003089905,90
46,1840,0.8625380992889404,92
47,1880,0.8670826554298401,94
48,1920,0.8650436997413635,96
49,1960,0.8620403409004211,98
50,2000,0.8434150815010071,100
51,2040,0.8672005534172058,102
52,2080,0.8558915257453918,104
53,2120,0.8684654235839844,106
54,2160,0.8582829236984253,108
55,2200,0.8800680041313171,110
56,2240,0.8791128396987915,112
57,2280,0.8676290512084961,114
58,2320,0.877302885055542,116
59,2360,0.8811343908309937,118
