,time_to_equilibrium,mean_happiness_checking_duration,mean_number_of_unhappy,median_number_of_unhappy,variance_of_unhappy_numbers,entropy_of_table_population,average_minority_percent,inter_table_variance_in_minority_percentages
0,99,4.937410354614258e-05,10.0,10.0,101.01010101010101,1.5430293192600038,0.26904761904761904,0.021292517006802715
1,99,4.998445510864258e-05,10.0,10.0,101.01010101010101,1.5671808548329902,0.26,0.021400000000000006
2,99,3.9989948272705076e-05,10.0,10.0,101.01010101010101,1.5444795210968603,0.23000000000000004,0.01937777777777778
3,99,4.998207092285156e-05,10.0,10.0,101.01010101010101,1.4877983800016508,0.3083333333333333,0.027500000000000004
4,99,5.9995651245117184e-05,10.0,10.0,101.01010101010101,1.4964159349401391,0.4257142857142857,0.01350204081632653
5,99,6.000041961669922e-05,10.0,10.0,101.01010101010101,1.487798380001651,0.2583333333333333,0.018333333333333333
6,99,3.9970874786376954e-05,10.0,10.0,101.01010101010101,1.2798542258336676,,
7,99,3.0007362365722656e-05,10.0,10.0,101.01010101010101,1.5741030017371853,0.26666666666666666,0.026111111111111106
8,99,3.0014514923095703e-05,10.0,10.0,101.01010101010101,1.4581748993613257,0.44666666666666666,0.004711111111111111
9,99,3.996610641479492e-05,10.0,10.0,101.01010101010101,1.3451529218673648,,
10,99,3.997564315795898e-05,10.0,10.0,101.01010101010101,1.5614694247763998,0.27999999999999997,0.020266666666666665
11,99,8.002996444702149e-05,10.0,10.0,101.01010101010101,1.5571130980576458,0.2833333333333333,0.03777777777777778
12,99,1.996278762817383e-05,10.0,10.0,101.01010101010101,1.4877983800016508,0.2833333333333333,0.026666666666666665
13,99,2.9959678649902343e-05,10.0,10.0,101.01010101010101,1.5444795210968603,0.24,0.02817777777777778
14,99,3.0012130737304686e-05,10.0,10.0,101.01010101010101,1.5444795210968603,0.25666666666666665,0.02684444444444444
15,99,1.0006427764892578e-05,10.0,10.0,101.01010101010101,1.5968043354733152,0.39666666666666667,0.00937777777777778
16,99,3.9989948272705076e-05,10.0,10.0,101.01010101010101,1.4737146012040094,0.15238095238095237,0.03573696145124716
17,99,6.006002426147461e-05,10.0,10.0,101.01010101010101,1.5968043354733152,0.25666666666666665,0.02684444444444445
18,99,0.00010004758834838867,10.0,10.0,101.01010101010101,1.3451529218673648,,
19,99,9.999275207519534e-06,10.0,10.0,101.01010101010101,1.5444795210968603,0.3466666666666667,0.03404444444444445
20,99,3.000497817993164e-05,10.0,10.0,101.01010101010101,1.4877983800016508,0.31666666666666665,0.034444444444444444
21,99,9.984970092773438e-06,10.0,10.0,101.01010101010101,1.4490023958526383,0.3466666666666667,0.03404444444444445
22,99,3.997087478637696e-05,10.0,10.0,101.01010101010101,1.5841707585125298,0.27666666666666667,0.02217777777777778
23,99,7.00235366821289e-05,10.0,10.0,101.01010101010101,1.5841707585125298,0.3433333333333333,0.0030666666666666676
24,99,4.9958229064941404e-05,10.0,10.0,101.01010101010101,1.5545472778722047,0.22666666666666666,0.018844444444444445
25,99,6.003856658935547e-05,10.0,10.0,101.01010101010101,1.4877983800016508,0.4333333333333333,0.006666666666666668
26,99,8.944749832153321e-05,10.0,10.0,101.01010101010101,1.2798542258336676,,
27,99,5.9938430786132814e-05,10.0,10.0,101.01010101010101,1.5968043354733152,0.29,0.0364
28,99,0.0,10.0,10.0,101.01010101010101,1.3831487512487415,0.19999999999999998,0.03777777777777778
29,99,2.9985904693603515e-05,10.0,10.0,101.01010101010101,1.5741030017371853,0.3833333333333333,0.01
30,99,3.9958953857421874e-05,10.0,10.0,101.01010101010101,1.4406300471115867,0.20571428571428568,0.03441632653061224
31,99,9.974479675292969e-05,10.0,10.0,101.01010101010101,1.4786258764929634,0.25,0.016666666666666666
32,99,7.090091705322266e-05,10.0,10.0,101.01010101010101,1.482887104712697,0.33571428571428574,0.03653061224489796
33,99,8.992671966552735e-05,10.0,10.0,101.01010101010101,1.4886936332683078,0.10666666666666666,0.01884444444444444
34,99,5.997657775878906e-05,10.0,10.0,101.01010101010101,1.4702535277519118,0.28238095238095234,0.023717913832199546
35,99,3.000497817993164e-05,10.0,10.0,101.01010101010101,1.4263010621165084,0.45555555555555555,0.004197530864197532
36,99,3.988027572631836e-05,10.0,10.0,101.01010101010101,1.5444795210968603,0.2899999999999999,0.014177777777777779
37,99,6.99472427368164e-05,10.0,10.0,101.01010101010101,1.458174899361326,0.4066666666666666,0.014844444444444443
38,99,5.001306533813477e-05,10.0,10.0,101.01010101010101,1.2876716260045196,,
39,99,5.0008296966552734e-05,10.0,10.0,101.01010101010101,1.56718085483299,0.18,0.0336
40,99,4.0001869201660157e-05,10.0,10.0,101.01010101010101,1.5134058386196787,0.39904761904761904,0.0039401360544217695
41,99,5.0058364868164064e-05,10.0,10.0,101.01010101010101,1.4490023958526383,0.38,0.0376
42,99,6.016254425048828e-05,10.0,10.0,101.01010101010101,1.5047882836811908,0.26666666666666666,0.05111111111111111
43,99,4.9996376037597654e-05,10.0,10.0,101.01010101010101,1.3592367006650063,0.23500000000000001,0.03690000000000001
44,99,3.9968490600585934e-05,10.0,10.0,101.01010101010101,1.5671808548329902,0.27,0.029599999999999998
45,99,3.9968490600585934e-05,10.0,10.0,101.01010101010101,1.4305622903362423,0.24047619047619045,0.026553287981859408
46,99,9.9945068359375e-06,10.0,10.0,101.01010101010101,1.5444795210968603,0.32999999999999996,0.01337777777777778
47,99,2.996683120727539e-05,10.0,10.0,101.01010101010101,1.5741030017371853,0.36666666666666664,0.03777777777777778
48,99,7.998943328857422e-05,10.0,10.0,101.01010101010101,1.5444795210968603,0.2733333333333333,0.027733333333333332
49,99,3.9942264556884766e-05,10.0,10.0,101.01010101010101,1.5217781873607303,0.26666666666666666,0.017777777777777778
50,99,0.00011986255645751953,10.0,10.0,101.01010101010101,1.5444795210968603,0.3633333333333333,0.006933333333333335
51,99,8.062124252319335e-05,10.0,10.0,101.01010101010101,1.56718085483299,0.41,0.0084
52,99,4.9998760223388674e-05,10.0,10.0,101.01010101010101,1.5134058386196787,0.19238095238095237,0.029946485260770966
53,99,0.00010936737060546876,10.0,10.0,101.01010101010101,1.5217781873607306,0.36666666666666664,0.015555555555555555
54,99,3.999948501586914e-05,10.0,10.0,101.01010101010101,1.3705151742879562,0.3133333333333333,0.028266666666666673
55,99,2.996683120727539e-05,10.0,10.0,101.01010101010101,1.5148560404565352,0.36,0.0344
56,99,2.995729446411133e-05,10.0,10.0,101.01010101010101,1.5013272102290933,0.29,0.0364
57,99,1.0025501251220702e-05,10.0,10.0,101.01010101010101,1.5444795210968603,0.39666666666666667,0.00937777777777778
58,99,8.998394012451172e-05,10.0,10.0,101.01010101010101,1.275038049043734,,
59,99,9.00411605834961e-05,10.0,10.0,101.01010101010101,1.5841707585125298,0.2633333333333333,0.003599999999999998
60,99,4.000425338745117e-05,10.0,10.0,101.01010101010101,1.4475521940157818,0.22380952380952382,0.03845804988662132
61,99,5.997180938720703e-05,10.0,10.0,101.01010101010101,1.400138654928281,0.2722222222222222,0.022345679012345677
62,99,2.9959678649902343e-05,10.0,10.0,101.01010101010101,1.4263010621165084,0.16111111111111112,0.018641975308641975
63,99,3.000020980834961e-05,10.0,10.0,101.01010101010101,1.5671808548329902,0.31999999999999995,0.0376
64,99,3.0007362365722656e-05,10.0,10.0,101.01010101010101,1.376226604344546,0.3333333333333333,0.03333333333333334
65,99,5.0058364868164064e-05,10.0,10.0,101.01010101010101,1.4320124921730986,0.2733333333333333,0.02773333333333334
66,99,3.0028820037841798e-05,10.0,10.0,101.01010101010101,1.5614694247763998,0.20666666666666664,0.037511111111111106
67,99,5.0008296966552734e-05,10.0,10.0,101.01010101010101,1.458174899361326,0.22166666666666668,0.033211111111111115
68,99,4.998683929443359e-05,10.0,10.0,101.01010101010101,1.5444795210968603,0.22999999999999998,0.019377777777777775
69,99,2.002239227294922e-05,10.0,10.0,101.01010101010101,1.5841707585125298,0.2866666666666667,0.030044444444444447
70,99,3.0019283294677734e-05,10.0,10.0,101.01010101010101,1.5841707585125298,0.3433333333333334,0.0030666666666666676
